year,hc_name,race_ethnicity,minority,former_player,team,hc_round,prior_role,side,previous_interim,internal_promotion,hired_from_college,active,tenure_end_year,tenure_length,notes
2013,Andy Reid,White,0,0,Kansas City Chiefs,2,1,Offense,0,0,0,1,NA,12,"Former HC, Eagles"
2013,Doug Marrone,White,0,0,Buffalo Bills,1,1,Offense,1,0,1,0,2020,8,Hired from Syracuse
2013,Marc Trestman,White,0,0,Chicago Bears,1,1,Offense,0,0,0,0,2014,2,"CFL hire, Montreal Alouettes"
2013,Rob Chudzinski,White,0,0,Cleveland Browns,1,1,Offense,0,0,0,0,2013,1,"OC, Panthers"
2013,Gus Bradley,White,0,0,Jacksonville Jaguars,1,1,Defense,0,0,0,0,2016,4,"DC, Seahawks"
2013,Chip Kelly,White,0,0,Philadelphia Eagles,1,0,None,0,0,1,0,2016,4,Hired from Oregon
2013,Mike McCoy,White,0,0,San Diego Chargers,1,1,Offense,0,0,0,0,2016,4,"OC, Broncos"
2013,Bruce Arians,White,0,0,Arizona Cardinals,2,1,Offense,0,0,0,0,2022,10,"Former interim HC, Colts"
2014,Lovie Smith,Black,1,0,Tampa Bay Buccaneers,2,1,Defense,0,0,0,0,2022,9,"Recycled HC, previously with Bears"
2014,Jim Caldwell,Black,1,0,Detroit Lions,2,1,Offense,0,0,0,0,2017,4,"Former Colts HC; OC, Ravens"
2014,Bill O'Brien,White,0,0,Houston Texans,1,1,Offense,0,0,1,0,2020,7,Hired from Penn State
2014,Mike Pettine,White,0,0,Cleveland Browns,1,1,Defense,0,0,0,0,2015,2,"Former DC, Buffalo Bills"
2014,Ken Whisenhunt,White,0,0,Tennessee Titans,2,1,Offense,0,0,0,0,2015,2,"Recycled HC, former HC, Cardinals"
2014,Jay Gruden,White,0,0,Washington Commanders,1,1,Offense,0,0,0,0,2019,6,"Former OC, Bengals"
2014,Mike Zimmer,White,0,0,Minnesota Vikings,1,1,Defense,0,0,0,0,2021,8,"Former DC, Bengals"
2015,John Fox,White,0,0,Chicago Bears,2,1,Defense,0,0,0,0,2017,3,Fired by Broncos after Super Bowl loss
2015,Gary Kubiak,White,0,0,Denver Broncos,2,1,Offense,0,1,0,0,2016,2,OC promoted after one year with team
2015,Jack Del Rio,White,0,0,Oakland Raiders,2,1,Defense,0,0,0,0,2017,3,"Former HC, Jaguars"
2015,Jim Tomsula,White,0,0,San Francisco 49ers,1,0,Defense,1,1,0,0,2015,1,Internal DL Coach promotion
2015,Dan Quinn,White,0,0,Atlanta Falcons,1,1,Defense,0,0,0,0,2024,10,"DC, Seahawks"
2015,Todd Bowles,Black,1,1,New York Jets,1,1,Defense,0,0,0,0,2024,10,"DC, Cardinals"
2015,Rex Ryan,White,0,0,Buffalo Bills,2,1,Defense,0,0,0,0,2016,2,Fired from Jets
2016,Hue Jackson,Black,1,1,Cleveland Browns,2,1,Offense,0,0,0,0,2018,3,"OC, Bengals"
2016,Chip Kelly,White,0,0,San Francisco 49ers,2,1,Offense,0,0,0,0,2016,1,"Former HC, Eagles"
2016,Mike Mularkey,White,0,0,Tennessee Titans,3,1,Offense,1,1,0,0,2017,2,No notes
2016,Adam Gase,White,0,0,Miami Dolphins,1,1,Offense,0,0,0,0,2020,5,"OC, Bears"
2016,Doug Pederson,White,0,1,Philadelphia Eagles,1,1,Offense,0,0,0,0,2024,9,"OC, Chiefs"
2016,Ben McAdoo,White,0,0,New York Giants,1,1,Offense,0,1,0,0,2017,2,"OC, Giants"
2016,Dirk Koetter,White,0,0,Tampa Bay Buccaneers,1,1,Offense,0,1,0,0,2018,3,"OC, Bucs"
2017,Sean McVay,White,0,0,Los Angeles Rams,1,1,Offense,0,0,0,0,2024,8,"Former OC, Washington"
2017,Sean McDermott,White,0,0,Buffalo Bills,1,1,Defense,0,0,0,1,NA,8,"Former DC, Panthers"
2017,Vance Joseph,Black,1,0,Denver Broncos,1,1,Defense,0,0,0,0,2018,2,"Former DC, Dolphins"
