coach_id,race,start_year,player_to_coach_transition,position_played,coaching_position,years_experience,team_performance_rating,promoted_to_head,promotion_year,tenure_years,rooney_rule_interview,interview_year,policy_window
1,Black,2017,1,LB,Offensive Coordinator,6,0.41,0,,6,0,,
2,Black,2010,1,QB,Head Coach,5,0.53,1,2014.0,5,0,,
3,Black,2023,1,RB,Offensive Coordinator,0,0.29,0,,0,1,,
4,Black,2018,1,OL,Defensive Coordinator,5,0.47,0,,5,0,,
5,Black,2005,1,DL,Position Coach,7,0.46,0,,7,1,,
6,Black,2009,1,OL,Position Coach,14,0.51,0,,14,1,,
7,Black,2010,1,RB,Offensive Coordinator,6,0.35,0,,6,1,,
8,White,2004,1,DB,Offensive Coordinator,12,0.58,0,,12,0,,
9,Latino,2010,1,WR,Position Coach,13,0.4,0,,13,0,,
10,White,2015,1,RB,Position Coach,8,0.31,0,,8,0,,
11,Black,2011,1,WR,Position Coach,3,0.64,0,,3,1,,
12,White,2007,1,RB,Position Coach,12,0.68,0,,12,0,,
13,White,2010,1,RB,Position Coach,13,0.38,0,,13,0,,
14,White,2010,1,OL,Position Coach,5,0.37,0,,5,0,,
15,White,2003,1,DL,Defensive Coordinator,7,1.0,0,,7,0,,
16,Black,2012,1,WR,Defensive Coordinator,11,0.41,0,,11,0,,
17,White,2006,1,RB,Special Teams,7,0.43,0,,7,0,,
18,Black,2021,1,DL,Position Coach,2,0.66,0,,2,0,,
19,Black,2014,1,OL,Defensive Coordinator,9,0.43,0,,9,0,,
20,Latino,2003,1,DB,Position Coach,15,0.5,0,,15,0,,
21,Black,2007,1,WR,Position Coach,3,0.53,0,,3,0,,
22,White,2019,1,RB,Position Coach,4,0.61,0,,4,0,,
23,White,2005,1,WR,Head Coach,18,0.56,1,2018.0,18,0,,
24,Black,2007,1,DL,Offensive Coordinator,3,0.92,0,,3,0,,
25,Black,2008,1,QB,Position Coach,6,0.66,0,,6,0,,
26,Other,2013,1,LB,Position Coach,10,0.46,0,,10,0,,
27,White,2005,1,QB,Offensive Coordinator,6,0.65,0,,6,0,,
28,Black,2003,1,OL,Head Coach,10,0.37,1,2006.0,10,1,2006.0,2003–2010
29,White,2020,1,RB,Offensive Coordinator,3,0.58,0,,3,0,,
30,Black,2004,1,QB,Defensive Coordinator,3,0.75,0,,3,1,,
31,White,2011,1,RB,Defensive Coordinator,11,0.64,0,,11,0,,
32,Black,2010,1,DB,Offensive Coordinator,6,0.73,0,,6,0,,
33,Black,2005,1,OL,Offensive Coordinator,16,0.37,0,,16,1,,
34,Black,2023,1,LB,Offensive Coordinator,0,0.65,0,,0,1,,
35,White,2003,1,QB,Position Coach,18,0.42,0,,18,0,,
36,Other,2015,1,DL,Defensive Coordinator,8,0.43,0,,8,0,,
37,White,2003,1,WR,Special Teams,7,0.77,0,,7,0,,
38,Black,2014,1,Special Teams,Position Coach,9,0.61,0,,9,0,,
39,Latino,2019,0,None,Head Coach,4,0.52,1,2022.0,4,0,,
40,Black,2005,1,Special Teams,Offensive Coordinator,12,0.48,0,,12,0,,
41,Black,2017,1,RB,Position Coach,4,0.68,0,,4,0,,
42,White,2009,1,DB,Defensive Coordinator,12,0.48,0,,12,0,,
43,White,2015,1,OL,Defensive Coordinator,8,0.75,0,,8,0,,
44,White,2014,1,RB,Position Coach,9,0.7,0,,9,0,,
45,White,2021,1,QB,Defensive Coordinator,2,0.42,0,,2,0,,
46,Black,2023,0,None,Special Teams,0,0.5,0,,0,1,,
47,Black,2017,1,DL,Defensive Coordinator,5,0.55,0,,5,0,,
48,White,2021,1,WR,Position Coach,2,0.62,0,,2,0,,
49,Black,2014,1,WR,Position Coach,3,0.6,0,,3,1,,
50,White,2023,0,None,Defensive Coordinator,0,0.31,0,,0,0,,
51,White,2005,1,DL,Position Coach,14,0.5,0,,14,0,,
52,Black,2017,1,RB,Head Coach,6,0.43,1,2020.0,6,0,,
53,Black,2018,1,RB,Special Teams,5,0.49,0,,5,1,,
54,White,2022,1,DL,Offensive Coordinator,1,0.57,0,,1,0,,
55,White,2007,1,WR,Position Coach,15,0.52,0,,15,0,,
56,White,2022,1,OL,Offensive Coordinator,1,0.56,0,,1,0,,
57,Black,2021,1,Special Teams,Position Coach,2,0.59,0,,2,0,,
58,Black,2012,1,RB,Special Teams,4,0.46,0,,4,1,,
59,Black,2013,1,OL,Head Coach,6,0.63,1,2019.0,6,1,2019.0,2011–2020
60,Other,2018,1,RB,Defensive Coordinator,5,0.44,0,,5,0,,
61,Latino,2007,1,OL,Defensive Coordinator,14,0.49,0,,14,1,,
62,Black,2018,1,DB,Position Coach,5,0.59,0,,5,0,,
63,Latino,2014,1,RB,Head Coach,9,0.84,1,2020.0,9,0,,
64,Black,2022,1,Special Teams,Defensive Coordinator,1,0.71,0,,1,0,,
65,Latino,2009,1,OL,Special Teams,14,0.5,0,,14,0,,
66,Black,2012,1,DB,Defensive Coordinator,11,0.67,0,,11,0,,
67,Black,2011,1,QB,Position Coach,4,0.72,0,,4,1,,
68,Other,2006,1,RB,Position Coach,6,0.48,0,,6,1,,
69,White,2012,1,OL,Position Coach,9,0.77,0,,9,0,,
70,White,2010,1,LB,Offensive Coordinator,11,0.26,0,,11,0,,
71,Black,2019,1,WR,Head Coach,3,0.58,1,2022.0,3,0,,
72,White,2022,1,DL,Offensive Coordinator,1,0.55,0,,1,0,,
73,Black,2023,1,Special Teams,Position Coach,0,0.53,0,,0,1,,
74,Black,2006,1,RB,Offensive Coordinator,10,0.7,0,,10,0,,
75,Other,2019,1,RB,Defensive Coordinator,4,0.42,0,,4,1,,
76,White,2020,1,DL,Special Teams,3,0.62,0,,3,0,,
77,Latino,2020,1,WR,Special Teams,3,0.53,0,,3,1,,
78,Black,2019,1,QB,Position Coach,4,0.78,0,,4,0,,
79,Black,2008,1,OL,Defensive Coordinator,15,0.57,0,,15,1,,
80,White,2021,1,RB,Position Coach,2,0.67,0,,2,0,,
81,Black,2015,1,WR,Defensive Coordinator,8,0.03,0,,8,1,,
82,Black,2003,1,DL,Defensive Coordinator,14,0.51,0,,14,0,,
