coach_id,race,position_played,coaching_position,years_experience,team_performance_rating,rooney_rule_interview,promoted_to_head,promotion_year,tenure_years
1,White,LB,Head Coach,8,0.37,0,1,2023.0,7
2,Black,WR,Coordinator,17,0.42,1,0,,4
3,Black,OL,Position Coach,20,0.61,1,0,,5
4,White,OL,Position Coach,9,0.64,0,0,,4
5,White,RB,Assistant Coach,3,0.85,0,0,,1
6,Black,WR,Position Coach,7,0.69,0,0,,2
7,Black,DL,Coordinator,11,0.42,0,0,,4
8,White,OL,Assistant Coach,8,0.78,0,0,,2
9,Black,OL,Position Coach,12,0.4,0,0,,5
10,Latino,RB,Coordinator,8,0.6,0,0,,5
11,White,DL,Head Coach,6,0.88,0,1,2018.0,8
12,White,DB,Assistant Coach,13,0.89,0,0,,5
13,White,RB,Position Coach,5,0.64,0,0,,1
14,Black,OL,Position Coach,5,0.88,1,0,,1
15,White,RB,Position Coach,19,0.76,0,0,,1
16,Black,None,Assistant Coach,2,0.79,0,0,,2
17,Black,Special Teams,Position Coach,1,0.44,1,0,,1
18,White,RB,Position Coach,11,0.69,0,0,,1
19,White,WR,Head Coach,20,0.74,0,1,2016.0,10
20,Black,Special Teams,Coordinator,7,0.4,0,0,,1
21,White,DB,Head Coach,3,0.72,0,1,2012.0,9
22,Black,DL,Coordinator,14,0.76,0,0,,1
23,White,WR,Head Coach,15,0.46,0,1,2017.0,4
24,White,DB,Head Coach,2,0.57,0,1,2019.0,9
25,Black,WR,Coordinator,14,0.59,1,0,,2
26,Latino,LB,Assistant Coach,19,0.88,0,0,,3
27,White,OL,Assistant Coach,7,0.67,0,0,,1
28,Black,DB,Assistant Coach,19,0.82,1,0,,5
29,Black,Special Teams,Assistant Coach,9,0.31,1,0,,1
30,White,DL,Coordinator,9,0.48,0,0,,1
31,Black,OL,Position Coach,9,0.5,1,0,,5
32,White,WR,Head Coach,14,0.81,0,1,2015.0,8
33,Black,OL,Assistant Coach,3,0.59,0,0,,1
34,Latino,OL,Coordinator,17,0.34,0,0,,5
35,White,Special Teams,Position Coach,12,0.58,0,0,,1
36,Black,OL,Assistant Coach,8,0.87,1,0,,1
37,White,OL,Coordinator,7,0.38,0,0,,4
38,Black,WR,Position Coach,12,0.87,0,0,,1
39,Black,DB,Position Coach,6,0.83,1,0,,5
40,Black,Special Teams,Coordinator,10,0.88,1,0,,1
41,White,WR,Head Coach,20,0.42,0,1,2017.0,10
42,Black,QB,Position Coach,17,0.43,1,0,,4
43,Black,DB,Assistant Coach,17,0.43,1,0,,1
44,Black,DL,Assistant Coach,9,0.79,0,0,,3
45,Black,None,Coordinator,13,0.71,1,0,,3
46,Black,QB,Coordinator,12,0.83,0,0,,5
47,White,QB,Assistant Coach,7,0.87,0,0,,5
48,Black,DB,Position Coach,13,0.8,1,0,,4
49,White,RB,Position Coach,1,0.57,0,0,,2
50,Black,Special Teams,Assistant Coach,1,0.54,1,0,,1
51,Latino,None,Position Coach,2,0.83,0,0,,2
52,Black,None,Assistant Coach,7,0.82,0,0,,3
53,White,LB,Coordinator,16,0.89,0,0,,2
54,Black,WR,Coordinator,1,0.35,1,0,,5
55,Black,QB,Coordinator,6,0.81,0,0,,2
56,Black,DB,Head Coach,6,0.77,1,1,2009.0,9
57,Black,WR,Coordinator,9,0.56,1,0,,2
58,Black,LB,Assistant Coach,7,0.61,1,0,,4
59,Black,QB,Assistant Coach,15,0.39,1,0,,4
60,Black,WR,Coordinator,15,0.34,1,0,,1
61,Black,DL,Position Coach,16,0.43,0,0,,1
62,Black,QB,Assistant Coach,18,0.59,1,0,,3
63,Black,OL,Position Coach,14,0.32,1,0,,2
64,Black,LB,Coordinator,15,0.59,1,0,,2
65,Black,DL,Coordinator,6,0.66,0,0,,1
66,Black,OL,Assistant Coach,13,0.88,0,0,,5
67,Black,QB,Assistant Coach,2,0.4,1,0,,3
